territory_id,month,drug_name,unit_price_inr
T02,2024-09,DiabetoShield,559.86
T02,2024-09,SugarBlock,687.28
T02,2024-10,GlucoCare,624.56
T02,2024-10,DiabetoShield,550.84
T02,2024-10,SugarBlock,682.91
T02,2024-11,GlucoCare,634.01
T02,2024-11,DiabetoShield,546.12
T02,2024-11,SugarBlock,707.67
T02,2024-12,GlucoCare,628.23
T02,2024-12,DiabetoShield,544.17
T02,2024-12,SugarBlock,689.81
T03,2024-01,GlucoCare,618.03
T03,2024-01,DiabetoShield,564.57
T03,2024-01,SugarBlock,686.67
T03,2024-02,GlucoCare,637.81
T03,2024-02,DiabetoShield,558.6
T03,2024-02,SugarBlock,670.51
T03,2024-03,GlucoCare,612.18
T03,2024-03,DiabetoShield,552.19
T03,2024-03,SugarBlock,673.73
T03,2024-04,GlucoCare,603.73
T03,2024-04,DiabetoShield,571.56
T03,2024-04,SugarBlock,671.69
T03,2024-05,GlucoCare,604.54
T03,2024-05,DiabetoShield,545.82
T03,2024-05,SugarBlock,696.02
T03,2024-06,GlucoCare,618.48
T03,2024-06,DiabetoShield,556.75
T03,2024-06,SugarBlock,701.21
T03,2024-07,GlucoCare,619.15
T03,2024-07,DiabetoShield,557.5
T03,2024-07,SugarBlock,698.91
T03,2024-08,GlucoCare,613.87
T03,2024-08,DiabetoShield,551.6
T03,2024-08,SugarBlock,705.1
T03,2024-09,GlucoCare,602.28
T03,2024-09,DiabetoShield,564.56
T03,2024-09,SugarBlock,671.21
T03,2024-10,GlucoCare,605.99
T03,2024-10,DiabetoShield,550.99
T03,2024-10,SugarBlock,679.33
T03,2024-11,GlucoCare,623.43
T03,2024-11,DiabetoShield,563.63
T03,2024-11,SugarBlock,708.2
T03,2024-12,GlucoCare,630.46
T03,2024-12,DiabetoShield,543.98
T03,2024-12,SugarBlock,686.2
T04,2024-01,GlucoCare,629.41
T04,2024-01,DiabetoShield,576.26
T04,2024-01,SugarBlock,687.25
T04,2024-02,GlucoCare,603.63
T04,2024-02,DiabetoShield,547.56
T04,2024-02,SugarBlock,700.46
T04,2024-03,GlucoCare,630.21
T04,2024-03,DiabetoShield,562.2
T04,2024-03,SugarBlock,696.25
T04,2024-04,GlucoCare,631.44
T04,2024-04,DiabetoShield,560.95
T04,2024-04,SugarBlock,680.33
T04,2024-05,GlucoCare,625.0
T04,2024-05,DiabetoShield,547.02
T04,2024-05,SugarBlock,698.83
T04,2024-06,GlucoCare,616.83
T04,2024-06,DiabetoShield,446.67
T04,2024-06,SugarBlock,562.6
T04,2024-07,GlucoCare,634.68
T04,2024-07,DiabetoShield,486.11
T04,2024-07,SugarBlock,582.06
T04,2024-08,GlucoCare,610.9
T04,2024-08,DiabetoShield,468.93
T04,2024-08,SugarBlock,538.59
T04,2024-09,GlucoCare,617.06
T04,2024-09,DiabetoShield,458.4
T04,2024-09,SugarBlock,547.24
T04,2024-10,GlucoCare,629.25
T04,2024-10,DiabetoShield,473.5
T04,2024-10,SugarBlock,517.62
T04,2024-11,GlucoCare,635.66
T04,2024-11,DiabetoShield,441.71
T04,2024-11,SugarBlock,572.72
T04,2024-12,GlucoCare,610.98
T04,2024-12,DiabetoShield,452.74
T04,2024-12,SugarBlock,588.28
T05,2024-01,GlucoCare,607.18
T05,2024-01,DiabetoShield,561.75
T05,2024-01,SugarBlock,704.7
T05,2024-02,GlucoCare,607.49
T05,2024-02,DiabetoShield,572.35
T05,2024-02,SugarBlock,705.77
T05,2024-03,GlucoCare,605.55
T05,2024-03,DiabetoShield,571.81
T05,2024-03,SugarBlock,670.26
T05,2024-04,GlucoCare,624.48
T05,2024-04,DiabetoShield,562.53
T05,2024-04,SugarBlock,708.85
T05,2024-05,GlucoCare,623.6
T05,2024-05,DiabetoShield,558.45
T05,2024-05,SugarBlock,677.2
T05,2024-06,GlucoCare,628.15
T05,2024-06,DiabetoShield,464.01
T05,2024-06,SugarBlock,594.89
T05,2024-07,GlucoCare,616.49
T05,2024-07,DiabetoShield,428.81
T05,2024-07,SugarBlock,541.64
T05,2024-08,GlucoCare,636.9
T05,2024-08,DiabetoShield,433.77
T05,2024-08,SugarBlock,567.81
T05,2024-09,GlucoCare,607.16
T05,2024-09,DiabetoShield,438.35
T05,2024-09,SugarBlock,567.38
T05,2024-10,GlucoCare,614.58
T05,2024-10,DiabetoShield,430.86
T05,2024-10,SugarBlock,550.99
T05,2024-11,GlucoCare,614.85
T05,2024-11,DiabetoShield,420.62
T05,2024-11,SugarBlock,554.11
T05,2024-12,GlucoCare,607.68
T05,2024-12,DiabetoShield,466.31
T05,2024-12,SugarBlock,509.23
T06,2024-01,GlucoCare,611.27
T06,2024-01,DiabetoShield,554.84
T06,2024-01,SugarBlock,690.22
T06,2024-02,GlucoCare,607.59
T06,2024-02,DiabetoShield,574.29
T06,2024-02,SugarBlock,675.89
T06,2024-03,GlucoCare,634.59
T06,2024-03,DiabetoShield,552.55
T06,2024-03,SugarBlock,693.38
T06,2024-04,GlucoCare,617.98
T06,2024-04,DiabetoShield,549.04
T06,2024-04,SugarBlock,674.05
T06,2024-05,GlucoCare,617.89
T06,2024-05,DiabetoShield,557.73
T06,2024-05,SugarBlock,670.85
T06,2024-06,GlucoCare,614.8
T06,2024-06,DiabetoShield,544.12
T06,2024-06,SugarBlock,671.82
T06,2024-07,GlucoCare,628.77
T06,2024-07,DiabetoShield,573.7
T06,2024-07,SugarBlock,677.41
T06,2024-08,GlucoCare,618.13
T06,2024-08,DiabetoShield,573.99
T06,2024-08,SugarBlock,682.39
T06,2024-09,GlucoCare,607.77
T06,2024-09,DiabetoShield,566.77
T06,2024-09,SugarBlock,679.38
T06,2024-10,GlucoCare,619.7
T06,2024-10,DiabetoShield,553.39
T06,2024-10,SugarBlock,685.51
T06,2024-11,GlucoCare,609.09
T06,2024-11,DiabetoShield,543.78
T06,2024-11,SugarBlock,685.03
T06,2024-12,GlucoCare,633.8
T06,2024-12,DiabetoShield,566.06
T06,2024-12,SugarBlock,705.71
T07,2024-01,GlucoCare,613.28
T07,2024-01,DiabetoShield,543.71
T07,2024-01,SugarBlock,677.97
T07,2024-02,GlucoCare,612.1
T07,2024-02,DiabetoShield,573.04
T07,2024-02,SugarBlock,707.05
T07,2024-03,GlucoCare,610.51
T07,2024-03,DiabetoShield,551.66
T07,2024-03,SugarBlock,687.12
T07,2024-04,GlucoCare,611.2
T07,2024-04,DiabetoShield,570.85
T07,2024-04,SugarBlock,698.24
T07,2024-05,GlucoCare,636.2
T07,2024-05,DiabetoShield,557.23
T07,2024-05,SugarBlock,710.52
T07,2024-06,GlucoCare,616.5
T07,2024-06,DiabetoShield,551.15
T07,2024-06,SugarBlock,703.48
T07,2024-07,GlucoCare,626.91
T07,2024-07,DiabetoShield,558.06
T07,2024-07,SugarBlock,695.42
T07,2024-08,GlucoCare,603.04
T07,2024-08,DiabetoShield,561.75
T07,2024-08,SugarBlock,670.02
T07,2024-09,GlucoCare,620.92
T07,2024-09,DiabetoShield,571.9
T07,2024-09,SugarBlock,672.66
T07,2024-10,GlucoCare,612.68
T07,2024-10,DiabetoShield,554.25
T07,2024-10,SugarBlock,673.03
T07,2024-11,GlucoCare,621.64
T07,2024-11,DiabetoShield,570.54
T07,2024-11,SugarBlock,694.51
T07,2024-12,GlucoCare,605.15
T07,2024-12,DiabetoShield,551.02
T07,2024-12,SugarBlock,688.97
T08,2024-01,GlucoCare,628.82
T08,2024-01,DiabetoShield,555.74
T08,2024-01,SugarBlock,710.43
T08,2024-02,GlucoCare,619.89
T08,2024-02,DiabetoShield,576.63
T08,2024-02,SugarBlock,702.8
T08,2024-03,GlucoCare,608.44
T08,2024-03,DiabetoShield,573.31
T08,2024-03,SugarBlock,687.25
T08,2024-04,GlucoCare,636.52
T08,2024-04,DiabetoShield,556.39
T08,2024-04,SugarBlock,701.72
T08,2024-05,GlucoCare,628.79
T08,2024-05,DiabetoShield,552.07
T08,2024-05,SugarBlock,672.19
T08,2024-06,GlucoCare,607.82
T08,2024-06,DiabetoShield,556.23
T08,2024-06,SugarBlock,706.85
T08,2024-07,GlucoCare,620.8
T08,2024-07,DiabetoShield,574.08
T08,2024-07,SugarBlock,704.0
T08,2024-08,GlucoCare,635.05
T08,2024-08,DiabetoShield,562.38
T08,2024-08,SugarBlock,695.84
T08,2024-09,GlucoCare,625.84
T08,2024-09,DiabetoShield,575.34
T08,2024-09,SugarBlock,704.58
T08,2024-10,GlucoCare,623.58
T08,2024-10,DiabetoShield,563.96
T08,2024-10,SugarBlock,693.21
T08,2024-11,GlucoCare,626.91
T08,2024-11,DiabetoShield,571.35
T08,2024-11,SugarBlock,670.16
T08,2024-12,GlucoCare,624.64
T08,2024-12,DiabetoShield,566.48
T08,2024-12,SugarBlock,673.75
T09,2024-01,GlucoCare,607.03
T09,2024-01,DiabetoShield,567.47
T09,2024-01,SugarBlock,683.8
T09,2024-02,GlucoCare,629.02
T09,2024-02,DiabetoShield,576.39
T09,2024-02,SugarBlock,699.29
T09,2024-03,GlucoCare,622.06
T09,2024-03,DiabetoShield,546.15
T09,2024-03,SugarBlock,703.58
T09,2024-04,GlucoCare,627.61
T09,2024-04,DiabetoShield,551.04
T09,2024-04,SugarBlock,704.36
T09,2024-05,GlucoCare,631.99
T09,2024-05,DiabetoShield,571.61
T09,2024-05,SugarBlock,685.58
T09,2024-06,GlucoCare,628.81
T09,2024-06,DiabetoShield,563.39
T09,2024-06,SugarBlock,680.47
T09,2024-07,GlucoCare,609.21
T09,2024-07,DiabetoShield,552.52
T09,2024-07,SugarBlock,669.51
T09,2024-08,GlucoCare,604.11
T09,2024-08,DiabetoShield,566.89
T09,2024-08,SugarBlock,707.51
T09,2024-09,GlucoCare,634.85
T09,2024-09,DiabetoShield,571.68
T09,2024-09,SugarBlock,682.64
T09,2024-10,GlucoCare,610.04
T09,2024-10,DiabetoShield,556.93
T09,2024-10,SugarBlock,697.21
T09,2024-11,GlucoCare,634.89
T09,2024-11,DiabetoShield,558.77
T09,2024-11,SugarBlock,706.34
T09,2024-12,GlucoCare,633.56
T09,2024-12,DiabetoShield,556.63
T09,2024-12,SugarBlock,674.56
T10,2024-01,GlucoCare,625.16
T10,2024-01,DiabetoShield,556.67
T10,2024-01,SugarBlock,706.76
T10,2024-02,GlucoCare,620.02
T10,2024-02,DiabetoShield,561.81
T10,2024-02,SugarBlock,694.63
T10,2024-03,GlucoCare,613.18
T10,2024-03,DiabetoShield,550.51
T10,2024-03,SugarBlock,692.26
T10,2024-04,GlucoCare,605.08
T10,2024-04,DiabetoShield,563.35
T10,2024-04,SugarBlock,692.18
T10,2024-05,GlucoCare,635.95
T10,2024-05,DiabetoShield,544.47
T10,2024-05,SugarBlock,679.63
T10,2024-06,GlucoCare,610.47
T10,2024-06,DiabetoShield,574.24
T10,2024-06,SugarBlock,689.61
T10,2024-07,GlucoCare,637.08
T10,2024-07,DiabetoShield,560.97
T10,2024-07,SugarBlock,678.12
T10,2024-08,GlucoCare,603.83
T10,2024-08,DiabetoShield,564.59
T10,2024-08,SugarBlock,707.67
T10,2024-09,GlucoCare,618.77
T10,2024-09,DiabetoShield,574.82
T10,2024-09,SugarBlock,686.21
T10,2024-10,GlucoCare,601.68
T10,2024-10,DiabetoShield,573.58
T10,2024-10,SugarBlock,687.63
T10,2024-11,GlucoCare,614.55
T10,2024-11,DiabetoShield,576.61
T10,2024-11,SugarBlock,687.55
T10,2024-12,GlucoCare,607.8
T10,2024-12,DiabetoShield,555.29
T10,2024-12,SugarBlock,692.56
