rep_id,doctor_id,month,calls_made,samples_given
R032,D0011,2024-05,3,4
R032,D0011,2024-06,5,3
R032,D0011,2024-07,5,15
R032,D0011,2024-08,4,3
R032,D0011,2024-09,5,14
R032,D0011,2024-10,5,1
R032,D0011,2024-11,6,2
R032,D0011,2024-12,5,9
R036,D0012,2024-01,1,2
R036,D0012,2024-02,1,0
R036,D0012,2024-03,2,3
R036,D0012,2024-04,1,1
R036,D0012,2024-05,4,6
R036,D0012,2024-06,4,3
R036,D0012,2024-07,2,0
R036,D0012,2024-08,3,7
R036,D0012,2024-09,4,1
R036,D0012,2024-10,1,1
R036,D0012,2024-11,1,1
R036,D0012,2024-12,2,3
R022,D0013,2024-01,1,2
R022,D0013,2024-02,4,7
R022,D0013,2024-03,0,0
R022,D0013,2024-04,2,3
R022,D0013,2024-05,2,2
R022,D0013,2024-06,1,0
R022,D0013,2024-07,4,0
R022,D0013,2024-08,0,0
R022,D0013,2024-09,0,0
R022,D0013,2024-10,0,0
R022,D0013,2024-11,3,1
R022,D0013,2024-12,2,5
R001,D0014,2024-01,3,1
R001,D0014,2024-02,3,6
R001,D0014,2024-03,6,12
R001,D0014,2024-04,2,5
R001,D0014,2024-05,1,3
R001,D0014,2024-06,4,3
R001,D0014,2024-07,2,5
R001,D0014,2024-08,1,1
R001,D0014,2024-09,3,6
R001,D0014,2024-10,1,0
R001,D0014,2024-11,2,3
R001,D0014,2024-12,4,5
R004,D0015,2024-01,0,0
R004,D0015,2024-02,0,0
R004,D0015,2024-03,0,0
R004,D0015,2024-04,0,0
R004,D0015,2024-05,0,0
R004,D0015,2024-06,0,0
R004,D0015,2024-07,0,0
R004,D0015,2024-08,0,0
R004,D0015,2024-09,1,1
R004,D0015,2024-10,0,0
R004,D0015,2024-11,0,0
R004,D0015,2024-12,1,1
R037,D0016,2024-01,3,5
R037,D0016,2024-02,4,11
R037,D0016,2024-03,5,5
R037,D0016,2024-04,2,4
R037,D0016,2024-05,4,11
R037,D0016,2024-06,2,2
R037,D0016,2024-07,4,3
R037,D0016,2024-08,2,1
R037,D0016,2024-09,3,0
R037,D0016,2024-10,5,11
R037,D0016,2024-11,2,1
R037,D0016,2024-12,5,4
R050,D0017,2024-01,2,0
R050,D0017,2024-02,8,21
R050,D0017,2024-03,2,1
R050,D0017,2024-04,3,5
R050,D0017,2024-05,3,5
R050,D0017,2024-06,4,5
R050,D0017,2024-07,7,6
R050,D0017,2024-08,4,8
R050,D0017,2024-09,6,17
R050,D0017,2024-10,4,10
R050,D0017,2024-11,7,15
R050,D0017,2024-12,5,3
R037,D0018,2024-01,6,16
R037,D0018,2024-02,4,7
R037,D0018,2024-03,4,10
R037,D0018,2024-04,0,0
R037,D0018,2024-05,3,7
R037,D0018,2024-06,4,9
R037,D0018,2024-07,3,3
R037,D0018,2024-08,4,12
R037,D0018,2024-09,3,1
R037,D0018,2024-10,3,9
R037,D0018,2024-11,5,12
R037,D0018,2024-12,0,0
R023,D0019,2024-01,8,20
R023,D0019,2024-02,7,15
R023,D0019,2024-03,3,7
R023,D0019,2024-04,3,6
R023,D0019,2024-05,2,1
R023,D0019,2024-06,3,0
R023,D0019,2024-07,2,0
R023,D0019,2024-08,4,6
R023,D0019,2024-09,0,0
R023,D0019,2024-10,2,2
R023,D0019,2024-11,0,0
R023,D0019,2024-12,1,3
R045,D0020,2024-01,2,1
R045,D0020,2024-02,1,0
R045,D0020,2024-03,0,0
R045,D0020,2024-04,0,0
R045,D0020,2024-05,2,2
R045,D0020,2024-06,2,1
R045,D0020,2024-07,1,1
R045,D0020,2024-08,1,2
R045,D0020,2024-09,0,0
R045,D0020,2024-10,1,3
R045,D0020,2024-11,1,0
R045,D0020,2024-12,1,3
R052,D0021,2024-01,3,2
R052,D0021,2024-02,2,6
R052,D0021,2024-03,3,7
R052,D0021,2024-04,0,0
R052,D0021,2024-05,0,0
R052,D0021,2024-06,3,6
R052,D0021,2024-07,4,8
R052,D0021,2024-08,1,0
R052,D0021,2024-09,2,2
R052,D0021,2024-10,1,2
R052,D0021,2024-11,2,1
R052,D0021,2024-12,1,3
R014,D0022,2024-01,2,3
R014,D0022,2024-02,2,2
R014,D0022,2024-03,2,6
R014,D0022,2024-04,0,0
R014,D0022,2024-05,1,2
R014,D0022,2024-06,4,7
R014,D0022,2024-07,0,0
R014,D0022,2024-08,3,1
R014,D0022,2024-09,4,12
R014,D0022,2024-10,2,5
R014,D0022,2024-11,2,3
R014,D0022,2024-12,0,0
R008,D0023,2024-01,3,8
R008,D0023,2024-02,1,0
R008,D0023,2024-03,3,4
R008,D0023,2024-04,3,9
R008,D0023,2024-05,2,2
R008,D0023,2024-06,4,2
R008,D0023,2024-07,4,8
R008,D0023,2024-08,2,6
R008,D0023,2024-09,5,14
R008,D0023,2024-10,5,3
R008,D0023,2024-11,0,0
R008,D0023,2024-12,3,0
R052,D0024,2024-01,3,1
R052,D0024,2024-02,6,14
R052,D0024,2024-03,7,20
R052,D0024,2024-04,7,0
R052,D0024,2024-05,5,7
R052,D0024,2024-06,3,4
R052,D0024,2024-07,3,1
R052,D0024,2024-08,3,0
R052,D0024,2024-09,3,6
R052,D0024,2024-10,5,3
R052,D0024,2024-11,4,11
R052,D0024,2024-12,3,6
R004,D0025,2024-01,0,0
R004,D0025,2024-02,1,2
R004,D0025,2024-03,0,0
R004,D0025,2024-04,0,0
R004,D0025,2024-05,1,0
R004,D0025,2024-06,0,0
R004,D0025,2024-07,0,0
R004,D0025,2024-08,1,3
R004,D0025,2024-09,2,0
R004,D0025,2024-10,0,0
R004,D0025,2024-11,0,0
R004,D0025,2024-12,0,0
R047,D0026,2024-01,2,4
R047,D0026,2024-02,7,9
R047,D0026,2024-03,1,3
R047,D0026,2024-04,4,8
R047,D0026,2024-05,1,0
R047,D0026,2024-06,2,6
R047,D0026,2024-07,4,11
R047,D0026,2024-08,2,4
R047,D0026,2024-09,0,0
R047,D0026,2024-10,0,0
R047,D0026,2024-11,3,2
R047,D0026,2024-12,2,2
R011,D0027,2024-01,3,6
R011,D0027,2024-02,1,3
R011,D0027,2024-03,5,1
R011,D0027,2024-04,4,10
R011,D0027,2024-05,3,9
R011,D0027,2024-06,4,0
R011,D0027,2024-07,5,10
R011,D0027,2024-08,2,4
R011,D0027,2024-09,6,9
R011,D0027,2024-10,3,7
R011,D0027,2024-11,9,17
R011,D0027,2024-12,6,2
R006,D0028,2024-01,5,7
R006,D0028,2024-02,8,12
R006,D0028,2024-03,7,20
R006,D0028,2024-04,10,13
R006,D0028,2024-05,7,21
R006,D0028,2024-06,8,16
R006,D0028,2024-07,12,0
R006,D0028,2024-08,6,0
R006,D0028,2024-09,6,16
R006,D0028,2024-10,4,11
R006,D0028,2024-11,5,6
R006,D0028,2024-12,11,6
R015,D0029,2024-01,3,6
R015,D0029,2024-02,1,3
R015,D0029,2024-03,3,1
R015,D0029,2024-04,1,1
R015,D0029,2024-05,3,5
R015,D0029,2024-06,1,0
R015,D0029,2024-07,6,15
R015,D0029,2024-08,1,2
R015,D0029,2024-09,4,6
R015,D0029,2024-10,1,1
R015,D0029,2024-11,0,0
R015,D0029,2024-12,5,14
R023,D0030,2024-01,6,4
R023,D0030,2024-02,8,6
R023,D0030,2024-03,8,5
R023,D0030,2024-04,4,10
R023,D0030,2024-05,2,4
R023,D0030,2024-06,3,4
R023,D0030,2024-07,0,0
R023,D0030,2024-08,5,0
R023,D0030,2024-09,4,9
R023,D0030,2024-10,1,2
R023,D0030,2024-11,4,7
R023,D0030,2024-12,0,0
R021,D0031,2024-01,1,1
R021,D0031,2024-02,1,2
R021,D0031,2024-03,0,0
R021,D0031,2024-04,1,3
R021,D0031,2024-05,1,3
R021,D0031,2024-06,0,0
R021,D0031,2024-07,0,0
R021,D0031,2024-08,1,0
R021,D0031,2024-09,0,0
R021,D0031,2024-10,0,0
R021,D0031,2024-11,1,2
R021,D0031,2024-12,0,0
R003,D0032,2024-01,0,0
R003,D0032,2024-02,0,0
R003,D0032,2024-03,0,0
R003,D0032,2024-04,1,2
R003,D0032,2024-05,0,0
R003,D0032,2024-06,1,3
R003,D0032,2024-07,1,0
R003,D0032,2024-08,0,0
R003,D0032,2024-09,1,3
R003,D0032,2024-10,1,1
R003,D0032,2024-11,0,0
R003,D0032,2024-12,0,0
R046,D0033,2024-01,2,1
R046,D0033,2024-02,2,3
R046,D0033,2024-03,4,10
R046,D0033,2024-04,2,4
R046,D0033,2024-05,2,2
R046,D0033,2024-06,9,24
R046,D0033,2024-07,3,0
R046,D0033,2024-08,3,9
R046,D0033,2024-09,8,15
R046,D0033,2024-10,5,8
R046,D0033,2024-11,0,0
R046,D0033,2024-12,1,0
R046,D0034,2024-01,6,6
R046,D0034,2024-02,1,1
R046,D0034,2024-03,3,4
R046,D0034,2024-04,7,14
R046,D0034,2024-05,2,3
R046,D0034,2024-06,2,1
R046,D0034,2024-07,0,0
R046,D0034,2024-08,3,4
R046,D0034,2024-09,4,12
R046,D0034,2024-10,3,5
R046,D0034,2024-11,3,1
R046,D0034,2024-12,1,3
R036,D0035,2024-01,7,2
R036,D0035,2024-02,9,23
R036,D0035,2024-03,9,26
R036,D0035,2024-04,6,1
R036,D0035,2024-05,12,13
R036,D0035,2024-06,8,21
R036,D0035,2024-07,3,8
R036,D0035,2024-08,6,12
R036,D0035,2024-09,10,26
R036,D0035,2024-10,3,2
R036,D0035,2024-11,12,9
R036,D0035,2024-12,6,13
R053,D0036,2024-01,0,0
R053,D0036,2024-02,2,5
R053,D0036,2024-03,1,0
R053,D0036,2024-04,1,3
R053,D0036,2024-05,4,4
R053,D0036,2024-06,0,0
R053,D0036,2024-07,3,9
R053,D0036,2024-08,4,7
R053,D0036,2024-09,1,2
R053,D0036,2024-10,3,1
R053,D0036,2024-11,1,3
R053,D0036,2024-12,2,1
R053,D0037,2024-01,3,6
R053,D0037,2024-02,2,0
R053,D0037,2024-03,2,2
R053,D0037,2024-04,2,2
R053,D0037,2024-05,1,3
R053,D0037,2024-06,1,0
R053,D0037,2024-07,2,4
R053,D0037,2024-08,2,4
R053,D0037,2024-09,3,9
R053,D0037,2024-10,1,2
R053,D0037,2024-11,3,5
R053,D0037,2024-12,0,0
R049,D0038,2024-01,3,9
R049,D0038,2024-02,5,2
R049,D0038,2024-03,4,7
R049,D0038,2024-04,7,17
R049,D0038,2024-05,6,7
R049,D0038,2024-06,2,1
R049,D0038,2024-07,6,16
R049,D0038,2024-08,6,18
R049,D0038,2024-09,3,7
R049,D0038,2024-10,3,3
R049,D0038,2024-11,2,5
R049,D0038,2024-12,8,7
R023,D0039,2024-01,5,15
R023,D0039,2024-02,1,0
R023,D0039,2024-03,6,4
R023,D0039,2024-04,4,2
R023,D0039,2024-05,4,12
R023,D0039,2024-06,1,0
R023,D0039,2024-07,3,7
R023,D0039,2024-08,5,0
R023,D0039,2024-09,0,0
R023,D0039,2024-10,0,0
R023,D0039,2024-11,1,1
R023,D0039,2024-12,1,2
R036,D0040,2024-01,2,5
R036,D0040,2024-02,4,0
R036,D0040,2024-03,6,17
R036,D0040,2024-04,1,3
R036,D0040,2024-05,0,0
R036,D0040,2024-06,4,1
R036,D0040,2024-07,3,7
R036,D0040,2024-08,4,7
R036,D0040,2024-09,1,2
R036,D0040,2024-10,2,5
R036,D0040,2024-11,2,0
R036,D0040,2024-12,4,11
R044,D0041,2024-01,4,5
R044,D0041,2024-02,5,0
R044,D0041,2024-03,5,0
R044,D0041,2024-04,3,9
R044,D0041,2024-05,5,5
R044,D0041,2024-06,1,0
R044,D0041,2024-07,4,7
R044,D0041,2024-08,6,14
R044,D0041,2024-09,7,12
R044,D0041,2024-10,5,3
R044,D0041,2024-11,5,10
R044,D0041,2024-12,4,5
R036,D0042,2024-01,2,4
R036,D0042,2024-02,3,1
R036,D0042,2024-03,4,11
R036,D0042,2024-04,2,6
R036,D0042,2024-05,2,6
R036,D0042,2024-06,2,0
R036,D0042,2024-07,2,1
R036,D0042,2024-08,4,5
R036,D0042,2024-09,0,0
R036,D0042,2024-10,4,6
R036,D0042,2024-11,1,1
R036,D0042,2024-12,1,2
R039,D0043,2024-01,5,2
R039,D0043,2024-02,3,3
R039,D0043,2024-03,2,6
R039,D0043,2024-04,2,1
R039,D0043,2024-05,2,4
R039,D0043,2024-06,5,0
R039,D0043,2024-07,1,3
R039,D0043,2024-08,3,3
R039,D0043,2024-09,1,0
R039,D0043,2024-10,2,3
R039,D0043,2024-11,3,7
R039,D0043,2024-12,3,1
R038,D0044,2024-01,2,3
R038,D0044,2024-02,2,5
R038,D0044,2024-03,1,0
R038,D0044,2024-04,4,4
R038,D0044,2024-05,1,0
R038,D0044,2024-06,2,1
R038,D0044,2024-07,4,0
R038,D0044,2024-08,6,14
R038,D0044,2024-09,1,2
R038,D0044,2024-10,0,0
R038,D0044,2024-11,0,0
R038,D0044,2024-12,0,0
R023,D0045,2024-01,4,8
R023,D0045,2024-02,3,3
R023,D0045,2024-03,5,13
R023,D0045,2024-04,5,13
R023,D0045,2024-05,1,1
R023,D0045,2024-06,2,3
R023,D0045,2024-07,1,0
R023,D0045,2024-08,1,2
R023,D0045,2024-09,0,0
R023,D0045,2024-10,3,4
R023,D0045,2024-11,2,1
R023,D0045,2024-12,4,3
R029,D0046,2024-01,1,3
R029,D0046,2024-02,1,3
R029,D0046,2024-03,1,1
R029,D0046,2024-04,2,4
R029,D0046,2024-05,1,2
R029,D0046,2024-06,5,10
R029,D0046,2024-07,6,4
R029,D0046,2024-08,5,9
R029,D0046,2024-09,1,3
R029,D0046,2024-10,7,7
R029,D0046,2024-11,5,0
R029,D0046,2024-12,2,4
R008,D0047,2024-01,3,5
R008,D0047,2024-02,3,6
R008,D0047,2024-03,3,7
R008,D0047,2024-04,5,13
R008,D0047,2024-05,4,5
R008,D0047,2024-06,4,9
R008,D0047,2024-07,3,5
R008,D0047,2024-08,3,3
R008,D0047,2024-09,4,6
R008,D0047,2024-10,1,2
R008,D0047,2024-11,5,13
R008,D0047,2024-12,1,1
R053,D0048,2024-01,6,4
R053,D0048,2024-02,4,11
R053,D0048,2024-03,3,4
R053,D0048,2024-04,1,3
R053,D0048,2024-05,3,9
R053,D0048,2024-06,2,5
R053,D0048,2024-07,5,11
R053,D0048,2024-08,4,7
R053,D0048,2024-09,3,8
R053,D0048,2024-10,3,0
R053,D0048,2024-11,8,22
R053,D0048,2024-12,4,9
R047,D0049,2024-01,1,1
R047,D0049,2024-02,0,0
R047,D0049,2024-03,1,0
R047,D0049,2024-04,1,0
R047,D0049,2024-05,0,0
R047,D0049,2024-06,1,0
R047,D0049,2024-07,0,0
R047,D0049,2024-08,0,0
R047,D0049,2024-09,1,0
R047,D0049,2024-10,0,0
R047,D0049,2024-11,0,0
R047,D0049,2024-12,0,0
R037,D0050,2024-01,1,1
R037,D0050,2024-02,4,5
R037,D0050,2024-03,4,1
R037,D0050,2024-04,3,9
R037,D0050,2024-05,1,0
R037,D0050,2024-06,4,4
R037,D0050,2024-07,2,3
R037,D0050,2024-08,3,1
R037,D0050,2024-09,5,6
R037,D0050,2024-10,2,3
R037,D0050,2024-11,1,2
R037,D0050,2024-12,3,1
R045,D0051,2024-01,0,0
R045,D0051,2024-02,0,0
R045,D0051,2024-03,0,0
R045,D0051,2024-04,0,0
R045,D0051,2024-05,0,0
R045,D0051,2024-06,0,0
R045,D0051,2024-07,0,0
R045,D0051,2024-08,0,0
R045,D0051,2024-09,0,0
R045,D0051,2024-10,1,2
R045,D0051,2024-11,1,1
R045,D0051,2024-12,0,0
R021,D0052,2024-01,0,0
R021,D0052,2024-02,1,0
R021,D0052,2024-03,0,0
R021,D0052,2024-04,0,0
R021,D0052,2024-05,1,3
R021,D0052,2024-06,0,0
R021,D0052,2024-07,0,0
R021,D0052,2024-08,0,0
R021,D0052,2024-09,1,1
R021,D0052,2024-10,0,0
R021,D0052,2024-11,1,2
R021,D0052,2024-12,0,0
R022,D0053,2024-01,7,0
R022,D0053,2024-02,2,5
R022,D0053,2024-03,5,3
R022,D0053,2024-04,6,16
R022,D0053,2024-05,8,6
R022,D0053,2024-06,3,1
R022,D0053,2024-07,3,6
R022,D0053,2024-08,2,5
R022,D0053,2024-09,0,0
R022,D0053,2024-10,3,2
R022,D0053,2024-11,2,3
R022,D0053,2024-12,3,6
R032,D0054,2024-01,4,3
R032,D0054,2024-02,6,14
R032,D0054,2024-03,7,10
R032,D0054,2024-04,4,1
R032,D0054,2024-05,5,4
R032,D0054,2024-06,2,0
R032,D0054,2024-07,6,5
R032,D0054,2024-08,5,1
R032,D0054,2024-09,4,1
R032,D0054,2024-10,4,1
R032,D0054,2024-11,4,4
R032,D0054,2024-12,6,12
R020,D0055,2024-01,3,1
R020,D0055,2024-02,10,6
R020,D0055,2024-03,0,0
R020,D0055,2024-04,6,8
R020,D0055,2024-05,5,14
R020,D0055,2024-06,1,3
R020,D0055,2024-07,6,16
R020,D0055,2024-08,3,2
R020,D0055,2024-09,6,0
R020,D0055,2024-10,4,3
R020,D0055,2024-11,4,6
R020,D0055,2024-12,4,5
R002,D0056,2024-01,6,0
R002,D0056,2024-02,5,3
R002,D0056,2024-03,2,6
R002,D0056,2024-04,3,6
R002,D0056,2024-05,5,6
R002,D0056,2024-06,7,17
R002,D0056,2024-07,3,5
R002,D0056,2024-08,5,15
R002,D0056,2024-09,5,14
R002,D0056,2024-10,2,1
R002,D0056,2024-11,5,9
R002,D0056,2024-12,0,0
R023,D0057,2024-01,5,14
R023,D0057,2024-02,1,0
R023,D0057,2024-03,3,0
R023,D0057,2024-04,4,12
R023,D0057,2024-05,4,12
R023,D0057,2024-06,1,2
R023,D0057,2024-07,1,3
R023,D0057,2024-08,3,8
R023,D0057,2024-09,1,2
R023,D0057,2024-10,0,0
R023,D0057,2024-11,2,4
R023,D0057,2024-12,0,0
R042,D0058,2024-01,7,4
R042,D0058,2024-02,4,7
R042,D0058,2024-03,1,3
R042,D0058,2024-04,2,1
R042,D0058,2024-05,3,8
R042,D0058,2024-06,4,2
R042,D0058,2024-07,4,11
R042,D0058,2024-08,6,12
R042,D0058,2024-09,6,0
R042,D0058,2024-10,5,8
R042,D0058,2024-11,6,14
R042,D0058,2024-12,4,3
R016,D0059,2024-01,3,2
R016,D0059,2024-02,6,6
R016,D0059,2024-03,3,8
R016,D0059,2024-04,4,2
R016,D0059,2024-05,4,10
R016,D0059,2024-06,2,2
R016,D0059,2024-07,2,1
R016,D0059,2024-08,6,0
R016,D0059,2024-09,1,1
R016,D0059,2024-10,2,1
R016,D0059,2024-11,3,7
R016,D0059,2024-12,2,4
R038,D0060,2024-01,0,0
R038,D0060,2024-02,0,0
R038,D0060,2024-03,0,0
R038,D0060,2024-04,0,0
R038,D0060,2024-05,2,3
R038,D0060,2024-06,1,2
R038,D0060,2024-07,1,1
R038,D0060,2024-08,0,0
R038,D0060,2024-09,0,0
R038,D0060,2024-10,0,0
R038,D0060,2024-11,0,0
R038,D0060,2024-12,0,0
R034,D0061,2024-01,3,4
R034,D0061,2024-02,4,7
R034,D0061,2024-03,1,0
R034,D0061,2024-04,2,1
R034,D0061,2024-05,1,0
R034,D0061,2024-06,2,4
R034,D0061,2024-07,4,3
R034,D0061,2024-08,1,0
R034,D0061,2024-09,2,2
R034,D0061,2024-10,2,3
R034,D0061,2024-11,4,8
R034,D0061,2024-12,1,3
R027,D0062,2024-01,6,0
R027,D0062,2024-02,7,18
R027,D0062,2024-03,3,9
R027,D0062,2024-04,1,3
R027,D0062,2024-05,8,24
R027,D0062,2024-06,3,2
R027,D0062,2024-07,1,0
R027,D0062,2024-08,0,0
R027,D0062,2024-09,2,0
R027,D0062,2024-10,0,0
R027,D0062,2024-11,1,2
R027,D0062,2024-12,1,0
R043,D0063,2024-01,5,1
R043,D0063,2024-02,3,0
R043,D0063,2024-03,3,2
R043,D0063,2024-04,7,16
R043,D0063,2024-05,4,5
R043,D0063,2024-06,3,0
R043,D0063,2024-07,1,0
R043,D0063,2024-08,1,0
R043,D0063,2024-09,5,2
R043,D0063,2024-10,6,3
R043,D0063,2024-11,5,4
R043,D0063,2024-12,2,2
R048,D0064,2024-01,2,2
R048,D0064,2024-02,1,1
R048,D0064,2024-03,2,1
R048,D0064,2024-04,1,1
R048,D0064,2024-05,1,2
R048,D0064,2024-06,2,2
R048,D0064,2024-07,2,1
R048,D0064,2024-08,3,2
R048,D0064,2024-09,3,8
R048,D0064,2024-10,0,0
R048,D0064,2024-11,1,2
R048,D0064,2024-12,4,8
R052,D0065,2024-01,0,0
R052,D0065,2024-02,1,1
R052,D0065,2024-03,0,0
R052,D0065,2024-04,1,1
R052,D0065,2024-05,0,0
R052,D0065,2024-06,1,3
R052,D0065,2024-07,1,0
R052,D0065,2024-08,1,2
R052,D0065,2024-09,0,0
R052,D0065,2024-10,0,0
R052,D0065,2024-11,1,3
R052,D0065,2024-12,0,0
R040,D0066,2024-01,2,0
R040,D0066,2024-02,1,3
R040,D0066,2024-03,1,1
R040,D0066,2024-04,2,6
R040,D0066,2024-05,2,3
R040,D0066,2024-06,4,4
R040,D0066,2024-07,3,3
R040,D0066,2024-08,1,0
R040,D0066,2024-09,6,11
R040,D0066,2024-10,4,9
R040,D0066,2024-11,3,2
R040,D0066,2024-12,1,2
R004,D0067,2024-01,7,12
R004,D0067,2024-02,6,11
R004,D0067,2024-03,2,4
R004,D0067,2024-04,2,0
R004,D0067,2024-05,1,2
R004,D0067,2024-06,3,8
R004,D0067,2024-07,4,3
R004,D0067,2024-08,3,9
R004,D0067,2024-09,5,4
R004,D0067,2024-10,2,2
R004,D0067,2024-11,7,0
R004,D0067,2024-12,4,11
R023,D0068,2024-01,5,8
R023,D0068,2024-02,3,9
R023,D0068,2024-03,2,3
R023,D0068,2024-04,6,17
R023,D0068,2024-05,2,5
R023,D0068,2024-06,0,0
R023,D0068,2024-07,0,0
R023,D0068,2024-08,0,0
R023,D0068,2024-09,1,0
R023,D0068,2024-10,3,1
R023,D0068,2024-11,1,2
R023,D0068,2024-12,2,3
R031,D0069,2024-01,2,2
R031,D0069,2024-02,0,0
R031,D0069,2024-03,2,5
R031,D0069,2024-04,1,1
R031,D0069,2024-05,0,0
R031,D0069,2024-06,2,0
R031,D0069,2024-07,4,5
R031,D0069,2024-08,3,4
R031,D0069,2024-09,1,3
R031,D0069,2024-10,2,5
R031,D0069,2024-11,1,1
R031,D0069,2024-12,0,0
R002,D0070,2024-01,2,3
R002,D0070,2024-02,5,14
R002,D0070,2024-03,5,5
R002,D0070,2024-04,2,3
R002,D0070,2024-05,3,0
R002,D0070,2024-06,3,6
R002,D0070,2024-07,3,6
R002,D0070,2024-08,5,13
R002,D0070,2024-09,4,3
R002,D0070,2024-10,3,7
R002,D0070,2024-11,7,14
R002,D0070,2024-12,8,9
R027,D0071,2024-01,1,2
R027,D0071,2024-02,1,1
R027,D0071,2024-03,2,6
R027,D0071,2024-04,2,2
R027,D0071,2024-05,1,0
R027,D0071,2024-06,0,0
R027,D0071,2024-07,0,0
R027,D0071,2024-08,0,0
R027,D0071,2024-09,3,3
R027,D0071,2024-10,0,0
R027,D0071,2024-11,1,1
R027,D0071,2024-12,0,0
R011,D0072,2024-01,6,16
R011,D0072,2024-02,3,3
R011,D0072,2024-03,4,5
R011,D0072,2024-04,4,6
R011,D0072,2024-05,6,0
R011,D0072,2024-06,4,3
R011,D0072,2024-07,5,2
R011,D0072,2024-08,7,16
R011,D0072,2024-09,4,0
R011,D0072,2024-10,2,0
R011,D0072,2024-11,3,1
R011,D0072,2024-12,3,0
R033,D0073,2024-01,0,0
R033,D0073,2024-02,0,0
R033,D0073,2024-03,1,3
R033,D0073,2024-04,0,0
R033,D0073,2024-05,0,0
R033,D0073,2024-06,0,0
R033,D0073,2024-07,1,0
R033,D0073,2024-08,0,0
